Subject,pswq-rt,pswq-radio,pswq-key,pswq-mouse,pswq-ipi,pswq-q01,pswq-q02,pswq-q03,pswq-q04,pswq-q05,pswq-q06,pswq-q07,pswq-q08,pswq-q09,pswq-q10,pswq-q11,pswq-q12,pswq-q13,pswq-q14,pswq-q15,pswq-q16,pswq-q17,ius12-rt,ius12-radio,ius12-key,ius12-mouse,ius12-ipi,ius12-q01,ius12-q02,ius12-q03,ius12-q04,ius12-q05,ius12-q06,ius12-q07,ius12-q08,ius12-q09,ius12-q10,ius12-q11,ius12-q12,ius12-q13,nfc-rt,nfc-radio,nfc-key,nfc-mouse,nfc-ipi,nfc-q01,nfc-q02,nfc-q03,nfc-q04,nfc-q05,nfc-q06,nfc-q07,nfc-q08,nfc-q09,nfc-q10,nfc-q11,nfc-q12,nfc-q13,nfc-q14,nfc-q15,nfc-q16
hsh4tg80zhn7j0dcc9uudluo.,71.142,18,0,24,3.329,3,3,4,3,4,3,3,4,2,4,2,4,4,3,4,4,0,55.3,15,0,19,3.193,2,3,1,3,1,1,1,4,1,2,3,1,4,116.994,17,0,22,5.344,4,3,4,5,3,3,2,4,3,2,5,5,3,2,3,5
i4f1u1r2l6tns6ari7dngbui.,137.491,20,0,25,4.503,2,1,1,1,2,1,1,1,2,2,1,0,1,1,0,3,0,82.951,15,0,18,3.458,1,3,2,3,1,1,2,3,1,1,4,2,3,95.485,18,0,21,3.791,3,3,4,3,3,3,4,3,2,3,3,4,5,3,3,4
idgddv7w9c7z6fup77kwv1rs.,46.847,20,0,24,1.708,3,1,3,1,1,2,0,3,1,3,1,1,2,2,0,1,0,39.146,13,0,16,2.583,2,3,1,3,3,0,0,2,2,0,3,1,4,83.556,16,0,19,3.584,3,3,4,4,1,3,4,4,2,2,1,4,3,2,4,5
ijq9c88uvlutsgpv06xf013b.,62.638,17,0,19,2.673,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,0,46.287,15,0,18,2.604,2,3,2,4,2,1,2,3,1,2,3,2,4,89.826,22,0,30,3.487,3,2,4,5,2,4,4,4,3,4,5,3,3,2,4,5
inruxr1qd5qmpvl3wg310m1w.,59.159,23,0,33,2.58,2,2,3,1,2,1,2,3,2,3,1,3,2,1,2,3,0,48.155,21,0,31,1.928,2,1,3,1,2,1,2,1,1,3,2,1,4,80.394,20,0,31,3.438,3,2,2,4,2,3,3,4,3,1,3,2,2,2,3,5
jimfaej7pd9wwo0dfhrfenkd.,53.219,17,0,20,2.42,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,2,0,50.687,14,0,18,2.72,0,3,0,3,2,1,1,2,1,0,1,0,4,63.276,16,0,18,3.48,1,1,0,3,0,3,0,5,3,0,2,0,2,1,1,5
ki2klr0u1w81k7tx85w2c87f.,79.638,19,0,22,2.259,3,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,0,38.858,16,0,20,1.617,4,4,4,4,4,4,4,4,4,4,4,4,4,59.462,20,0,28,2.251,5,5,3,4,5,5,5,5,4,5,5,4,3,5,5,5
l5fq59qp9rxxbg5v92n4uioy.,68.239,17,0,19,3.661,4,0,3,2,3,3,1,2,3,4,0,1,3,0,2,3,0,58.246,13,0,18,4.218,0,3,0,3,4,0,0,2,1,0,1,0,4,89.211,16,0,18,6.28,4,2,4,4,1,3,3,2,3,5,4,4,4,0,4,5
lc434nvpsvjjqilqg0h8s076.,26.06,17,0,21,0.792,3,3,1,2,3,1,1,2,2,2,2,2,2,2,2,1,2,25.29,13,0,16,1.256,2,3,0,2,2,1,0,2,4,0,0,3,3,39.376,16,0,20,1.352,3,4,0,0,2,2,3,3,2,1,2,1,3,2,3,2
lfoao7r4uxy84db9qd18ag9v.,46.745,17,0,26,2.154,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,0,43.622,13,0,20,3.526,3,4,4,4,4,3,3,2,2,3,2,3,4,76.897,20,0,28,3.19,4,2,1,5,2,4,3,3,4,4,4,3,2,4,4,4
lwb776999qivpoyrszg9pn2e.,72.842,18,0,27,3.242,4,2,0,3,4,4,3,4,2,4,1,2,2,4,2,4,0,66.704,15,0,20,3.162,1,4,1,3,2,1,2,3,1,1,3,0,4,107.134,19,0,30,4.02,3,5,4,4,1,3,4,5,4,3,3,3,3,5,3,5
ly1ndfqlpeon5t0x8yr4zapc.,87.21,19,0,22,3.538,2,0,2,0,0,2,0,3,2,1,1,0,0,1,0,0,0,203.908,14,0,19,9.036,1,0,0,4,1,1,1,0,0,1,3,0,4,145.636,16,0,17,5.382,1,4,3,0,3,3,3,4,3,1,1,4,4,4,1,5
m0lspw6vtsf3o55ajcl2gxqi.,83.435,18,0,19,3.916,3,1,3,1,2,2,1,2,1,4,2,2,2,2,1,2,0,66.484,14,0,16,4.383,1,2,1,3,2,0,1,1,3,1,3,1,4,103.065,18,0,21,5.247,2,5,4,3,2,4,3,4,3,1,4,4,4,0,4,1
m0x7mxhu0yu7w8qv34s4enkx.,105.688,23,0,66,3.588,1,1,1,1,1,1,1,1,1,2,1,0,1,1,0,1,0,59.153,16,0,34,3.432,1,2,1,2,1,1,1,1,2,0,1,1,4,88.922,24,0,49,3.409,3,3,3,2,0,2,3,3,2,3,4,2,3,3,1,5
m19y4phye4ijfvv65rxc84tf.,93.747,19,0,33,3.972,1,0,3,1,2,1,0,2,1,3,1,0,1,0,1,2,0,61.126,17,0,25,3.056,0,1,0,2,3,1,2,3,1,0,2,1,4,158.181,20,0,39,3.832,2,2,3,3,0,3,5,4,1,4,4,4,4,2,3,5
m8k8jw6enj428ebyc9bne0k3.,86.535,20,0,22,2.205,1,1,3,1,1,1,1,1,1,3,1,2,1,1,0,1,1,60.01,14,0,15,0.659,2,3,2,3,3,2,2,2,2,3,3,2,0,121.517,18,0,22,7.331,3,4,4,3,3,3,4,4,3,4,4,4,4,3,4,3
mmjtfqmrci8uq48qmlr7rqxi.,60.1,17,0,23,2.827,3,1,4,2,4,2,3,2,1,3,3,2,3,2,2,3,0,48.762,13,0,16,3.359,1,2,1,1,1,0,0,3,1,0,3,1,4,78.909,16,0,23,4.26,1,1,3,3,3,3,4,1,3,2,3,3,2,2,2,5
mt585rrdp1sjsuwxh8ixadfk.,124.108,18,0,19,5.49,2,1,2,1,2,1,0,2,1,2,1,0,2,0,1,2,0,99.608,13,0,15,6.045,0,2,1,2,1,1,1,0,1,0,2,0,4,126.019,16,0,17,6.842,2,2,3,3,3,3,3,3,2,4,2,3,3,1,2,3
n73q699ikrhdki2khtk0acey.,37.817,17,0,19,1.776,3,2,4,2,3,3,2,3,1,4,3,3,2,3,2,2,0,42.224,13,0,18,2.468,2,3,2,2,3,1,2,3,2,2,2,1,4,50.981,16,0,20,2.296,4,1,2,3,4,3,3,3,3,3,2,1,1,2,3,5
nk3at8lfn0o3igrzttlx3t7g.,84.657,17,0,21,4.391,3,1,2,1,1,3,1,2,1,3,3,1,1,1,1,1,0,112.114,17,0,20,4.022,2,2,1,3,3,1,1,2,2,1,2,1,4,116.567,22,0,35,5.326,5,5,3,3,1,5,3,2,3,4,5,3,3,4,5,4
nutt3fvcqnnifj3l6uxjs0yo.,154.006,17,0,20,6.346,2,1,3,1,2,2,2,2,2,4,3,0,2,2,1,2,0,112.443,13,0,14,8.366,3,2,1,3,3,2,2,2,1,1,2,2,4,235.425,20,3,27,10.802,2,1,2,2,4,2,5,2,1,3,2,4,5,3,4,5
nvyarhic8nix5bhiico65vht.,150.831,18,0,24,2.274,0,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,0,48.132,13,0,17,3.206,4,4,3,3,3,3,3,3,1,2,4,2,4,1469.349,18,0,37,5.355,4,2,5,3,2,5,4,5,5,3,4,5,5,1,4,5
nyaqibgys6bhobnj2c2xplz3.,177.551,17,0,18,6.411,3,1,3,1,1,2,1,2,2,3,2,1,1,1,1,2,0,92.959,13,0,16,6.745,1,2,1,2,2,0,1,2,1,1,2,3,4,204.625,16,0,19,8.71,2,2,3,2,3,2,5,5,2,4,2,2,4,1,3,5
oj19qoqr7wtv43qguxff9001.,46.939,18,0,21,2.127,4,2,4,3,3,4,2,2,3,4,3,4,3,2,3,4,0,39.482,13,0,17,2.653,3,3,3,4,2,2,2,3,1,2,3,1,4,61.064,17,0,18,3.244,1,1,3,3,2,1,5,5,3,1,4,5,3,0,3,5
pfpu8ycuuz69vefmakpdrsom.,140.282,20,0,22,3.938,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,2,0,85.452,13,0,15,5.904,1,2,1,1,0,0,1,2,1,0,2,2,4,124.724,17,0,19,6.86,3,1,3,1,1,3,3,3,1,1,3,3,3,2,2,5
qe48pgqry97335lt6mio0v5n.,45.537,18,0,32,2.25,2,1,3,1,1,2,1,1,2,3,2,1,1,1,1,2,0,109.849,13,0,24,2.03,1,2,1,2,2,0,1,2,1,1,2,1,4,142.876,19,0,32,2.601,3,2,3,3,4,4,4,3,3,3,3,4,4,2,4,4
qnz9x517dryezj4ubt2ugqnu.,50.142,17,0,18,2.347,3,0,0,0,0,1,0,1,0,2,2,0,0,0,0,1,0,48.774,14,0,19,3.032,1,4,0,3,1,0,0,3,3,0,3,0,4,63.08,16,0,17,3.56,3,2,1,1,1,4,4,3,3,5,4,1,1,0,4,5
qr8vewgc6ztrr4xft956iugr.,43.415,18,0,26,1.906,3,2,4,3,4,4,2,3,2,4,3,4,3,3,2,2,0,42.955,13,0,17,2.543,2,3,2,2,2,1,1,3,1,1,2,1,4,45.436,16,0,18,2.842,2,4,2,2,4,3,4,4,4,2,4,2,3,3,2,5
qzfg5c2l3alspinn9ir3loo2.,68.898,17,0,28,3.1,4,2,4,2,3,3,2,4,2,4,4,2,2,3,2,2,0,67.642,14,0,20,4.192,1,2,0,2,1,1,2,1,1,2,0,0,4,93.839,19,0,29,3.716,3,0,2,3,1,3,4,2,1,4,2,3,3,2,4,5
r7ds1nnw53cxvgcdga3i0xr9.,55.754,19,0,30,2.363,2,1,2,1,1,2,0,3,1,4,1,1,1,1,0,1,0,55.814,14,0,18,4.121,0,0,2,0,3,0,1,2,1,1,0,1,4,73.951,16,0,26,3.739,2,2,1,3,2,3,3,2,3,2,1,3,3,2,3,5
ryp8pbrx06o3lf9kk3xmrvd4.,49.452,17,0,18,1.976,1,1,1,1,0,0,0,2,1,1,4,1,2,0,0,2,0,40.403,13,0,16,2.307,1,2,2,1,3,1,3,2,4,2,3,1,4,52.902,17,0,20,2.637,3,4,4,5,4,4,4,2,4,2,4,2,4,3,2,5
s7svn5ooz9hjgnhh8y2rk49w.,95.877,17,0,21,4.597,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,0,73.552,13,0,14,5.153,4,3,3,4,4,4,4,3,4,3,4,2,4,128.38,17,0,20,7.317,5,3,4,5,4,5,3,5,4,5,4,5,4,1,5,5
sk8xhhz7i16yvcknat7l6myb.,45.709,18,0,35,2.208,2,1,3,2,1,1,1,0,1,4,3,1,1,2,1,1,0,36.519,14,0,21,1.36,3,2,0,3,3,1,2,2,2,1,2,2,4,44.51,16,0,30,2.28,4,5,4,4,5,3,5,4,4,3,3,5,4,4,5,4
so1kmb7czojgpong8ho5kokg.,105.706,18,0,24,2.312,3,2,4,2,3,2,2,3,2,4,4,2,2,2,2,3,0,56.397,14,0,26,3.084,1,3,0,3,1,0,1,2,1,1,2,1,4,79.367,21,0,30,3.313,3,2,4,3,3,3,4,4,3,2,2,4,4,1,2,5
t2u2ja58o53je7gqs3l6gs9f.,106.55,17,0,19,4.987,3,0,1,1,1,2,1,2,2,2,1,0,1,1,0,3,0,71.901,13,0,15,4.6,1,2,0,2,1,1,1,2,2,0,2,0,4,128.898,16,0,17,6.831,4,1,3,1,3,4,5,3,0,0,3,3,3,1,2,5
tj5bifpb7nbzq1y66xilapy6.,272.585,29,0,94,2.986,1,2,4,1,2,4,0,2,1,4,1,0,2,2,0,3,0,236.007,17,0,63,5.998,0,4,0,4,2,2,1,4,1,2,3,1,4,214.331,17,0,49,9.679,4,3,5,4,0,5,5,3,2,1,2,3,4,4,5,5
u7bsetm5waqp5rswdz0kiidq.,110.875,18,0,22,1.823,4,3,3,3,3,4,3,4,3,4,3,3,3,2,3,4,0,40.438,15,0,22,1.812,2,1,2,1,1,2,2,2,1,3,2,2,4,59.565,17,0,25,2.673,4,2,3,5,2,4,5,3,3,4,4,3,4,0,4,5
u97vx3l7dr1vnjgzejub79zv.,194.389,20,0,27,4.711,4,3,4,4,4,4,4,3,3,4,2,3,4,4,3,4,0,266.317,14,0,22,3.781,4,4,3,3,2,3,3,3,3,3,3,4,4,148.117,20,0,26,5.698,5,5,3,5,2,5,4,4,3,2,5,4,4,1,4,5
uaq3lblq9duhiufub884193b.,82.287,17,0,26,2.765,2,1,3,1,2,2,1,3,1,3,2,2,2,1,1,3,0,60.216,15,0,20,3.48,1,2,1,3,2,1,1,2,1,1,3,1,2,103.729,17,0,31,4.272,3,2,3,3,3,4,2,4,2,2,3,4,4,1,3,5
uc73zzy4ijmhy7xle0l8tv6f.,36.356,17,0,21,1.436,0,4,1,4,4,3,3,1,2,0,1,3,3,3,2,4,4,52.333,13,0,21,2.436,3,4,3,3,3,4,3,3,4,4,3,4,4,43.667,16,0,21,1.839,4,5,3,3,5,5,4,4,4,3,4,5,3,4,3,5
v129jk07ciltivmjwqcm78ol.,66.21,17,0,22,3.28,3,1,2,1,1,2,1,2,2,2,1,1,2,1,1,3,0,45.593,14,0,17,2.856,1,3,0,2,0,0,2,1,1,0,1,0,4,78.354,18,0,23,3.393,2,0,4,2,1,2,4,5,1,2,3,3,3,0,2,5
v1f3sm3qhteclcemowf7uhwk.,41.537,19,0,39,1.862,3,1,2,2,2,1,3,2,2,1,2,2,2,2,2,2,0,31.449,14,0,28,1.59,1,2,2,2,2,1,2,2,2,2,3,1,4,39.091,18,0,41,1.26,4,4,2,3,3,2,3,3,3,2,3,3,2,2,2,3
vqn8pian81yhukhg0mzpolol.,132.135,20,0,36,4.031,2,3,2,1,1,1,1,1,1,3,2,0,1,1,1,1,1,185.914,13,0,20,6.869,3,1,3,2,2,3,3,3,2,2,3,3,4,90.654,16,0,22,5.259,3,1,3,2,3,1,3,3,3,3,3,3,4,3,3,1
wugb7esovvyay7hltfl8153g.,86.702,19,0,22,4.234,4,4,4,1,4,4,1,4,4,4,4,0,2,4,1,1,0,95.557,14,0,18,6.095,4,4,3,3,4,4,4,4,1,4,4,4,4,139.505,16,0,19,7.267,5,0,3,5,0,5,5,5,4,4,5,4,5,5,5,5
wyx9wrvsnqb4mdvsmwh9e732.,65.544,19,0,22,3.126,4,0,4,2,4,4,2,3,3,4,3,3,4,2,2,4,0,94.465,14,0,17,4.974,2,2,1,2,2,0,1,2,0,2,2,1,4,102.995,16,0,20,5.233,3,1,5,3,2,4,5,3,3,3,2,5,5,0,3,5
x43ns0nnesa95h5pltokft2t.,55.452,17,0,21,2.844,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,48.395,13,0,15,3.378,0,2,1,2,1,1,1,0,1,1,3,1,4,70.027,17,0,18,4.074,1,2,2,3,3,3,3,3,3,1,2,3,3,2,2,4
xfucttob88f1yfubgjhreejv.,81.145,20,0,26,2.844,3,3,3,3,4,3,2,3,2,3,2,3,4,3,3,3,0,63.021,14,0,20,3.061,2,3,3,3,3,3,3,2,3,2,1,1,4,123.088,24,0,29,3.085,4,1,4,5,1,4,3,3,4,3,3,3,4,1,4,4
y499346vdq7cv9i092jpbydk.,59.738,17,0,23,2.684,1,0,1,1,1,2,0,1,0,3,0,0,1,0,0,0,0,49.548,13,0,23,2.647,1,2,0,3,1,1,2,1,0,2,2,0,4,75.128,16,0,24,3.876,1,1,4,4,1,3,4,3,1,1,1,4,4,1,1,5
yjqxq9j80ck0kdjn648s83nd.,58.834,18,0,23,3.023,3,2,1,0,0,2,0,1,0,3,2,0,0,0,0,1,0,39.701,13,0,15,2.689,0,2,0,2,0,0,0,1,0,0,1,0,4,79.828,17,0,18,4.505,2,2,1,2,0,3,4,2,1,2,2,3,3,0,2,5
ynqn6okc1pjgks2ugz6vyntw.,108.734,19,0,30,4.545,3,2,3,3,3,2,2,3,2,3,3,3,3,2,2,2,0,97.766,14,0,19,5.096,1,2,2,2,2,3,1,0,2,2,2,0,4,118.259,17,0,22,6.25,1,3,3,2,2,2,3,2,2,1,2,3,3,1,2,4
yq58plsdt7gzeny0jok0dwgh.,36.625,17,0,21,1.832,3,2,3,4,3,2,3,3,2,4,3,4,4,3,2,3,0,35.324,13,0,26,1.792,0,3,0,3,1,0,0,4,0,0,4,0,4,35.021,16,0,24,2.039,4,4,4,3,4,4,3,5,4,3,2,4,5,4,3,5
zc2kx8286yy7yegrp80lg824.,66.014,17,0,25,2.153,3,3,4,3,2,3,3,3,3,3,4,3,3,2,3,3,0,32.093,13,0,17,2.059,3,3,2,3,0,2,1,3,1,2,1,2,4,1795.277,18,0,29,2.149,3,3,4,2,0,3,2,3,2,1,3,2,4,2,3,3
